0,165;0,272;0,046;0,429;0,143;-0,211;0,183
0,101;0,237;-0,109;0,149;0,111;-0,14;0,252
0,15;0,469;-0,015;0,144;0,072;0,115;0,215
-1,193;;-0,963;-0,51;-2,392;;-0,939
-0,741;0,227;-0,986;-0,048;-1,277;-0,194;
-0,351;0,425;-0,574;-0,522;0,404;0,32;0,249
0,272;0,825;0,544;0,353;-0,659;-0,009;0,545
-0,131;1,699;-0,026;0,365;-0,246;0,478;0,435
;;-0,688;0,008;;;
;;-3,841;0,312;-0,427;;0
;;-1;-0,024;-0,939;;
1,858;;-0,591;-0,907;-0,255;;
0,224;0,367;0,312;0,014;-0,003;-1,357;-0,811
0,002;0,634;0,31;0,441;0,458;-0,136;0,275
-1,07;-0,514;-0,22;-0,012;-0,215;1,741;4,239
0,09;0,884;0,165;0,199;0,034;0,148;0,935
-0,046;0,635;0,194;0,291;0,271;0,488;0,533
0,162;0,159;0,609;0,481;0,447;1,541;1,449
-0,013;0,88;-0,009;0,144;-0,001;0,14;0,192
-0,405;0,853;-0,259;-0,124;-1,181;0,095;0,027
0,048;0,889;0,014;0,057;-0,334;0,091;-0,133
-0,416;0,736;-0,291;-0,098;-0,661;0,077;0,119
0,006;0,605;-0,139;0,155;-0,275;0,264;0,076
;;-0,526;0,716;-1,497;;0,343
-0,372;1,168;-0,213;0,206;-0,173;-0,013;0,285
0,305;0,146;-0,129;-0,444;-0,707;-1,499;-1,935
0,161;0,362;-0,038;0,185;0,116;0,087;0,25
0,091;0,777;0,215;0,522;0,131;1,191;0,887
-1,079;-0,013;-0,083;-0,586;-1,264;0,471;0,169
0,157;0,175;0,467;-0,379;-0,52;-1,279;-2,125
0,246;0,796;0,384;0,981;1,02;1,646;1,157
-0,283;0,788;-0,426;0,475;-0,201;0,306;1,05
-0,01;1,1;0,039;0,09;-0,041;-0,9;-0,637
0,139;0,352;0,002;-0,004;0,004;0,853;0,559
-0,138;0,126;-0,354;-0,282;-0,494;-0,443;-0,357
-0,235;0,487;-0,184;-0,669;-1,006;2,369;2,611
0,095;0,24;-0,439;-0,227;-0,337;0,146;0,754
0,322;0,412;-0,006;0,217;0,113;0,139;0,387
0,399;0,358;0,219;0,223;0,233;0,212;0,392
0,372;0,3;0,013;0,255;0,187;0,058;0,422
-0,299;0,207;-0,155;-0,678;-0,875;-1,33;-1,426
-0,532;0,028;-0,333;-0,102;1,172;2,087;0,992
-0,067;0,855;-0,124;-0,096;-0,104;-0,22;-0,256
-0,218;0,219;0,329;0,381;0,191;0,585;-0,302
-0,082;0,818;-0,085;0,148;0,082;-0,166;0,093
-0,003;0,522;0,347;0,806;0,756;1,949;1,065
-0,47;0,244;-0,399;0,137;-0,311;0,343;0,091
-0,107;0,51;0,292;0,451;0,123;1,048;0,602
-0,382;0,236;0,118;0,098;-0,44;0,312;0,93
-0,137;0,405;0,541;0,635;0,308;0,597;1,034
-0,122;0,629;-0,035;0,145;-0,149;-0,209;0,352
0,395;0,536;0,422;0,113;-0,226;-1,681;-1,857
0,025;0,459;0,388;0,524;0,166;0,91;0,609
0,175;0,444;0,422;0,603;0,427;0,233;-0,398
-0,049;0,287;-0,066;0,301;0,623;2,922;3,768
0,157;0,623;-0,143;0,199;0,025;-0,024;0,699
-1,276;-0,193;0,347;-0,139;-0,709;1,028;0,467
-0,206;0,385;0,079;0,028;-0,168;-0,117;0,313
-0,266;0,269;-0,04;-0,268;-0,579;-0,304;-0,971
-0,242;0,037;0,002;0,22;-0,642;0,26;-0,262
0,192;0,527;0,163;-0,344;-0,911;-1,286;-1,463
0,029;0,165;0,341;0,395;-0,122;0,722;0,286
-0,435;0,017;-0,182;-0,01;-0,624;2,29;2,858
